Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
233,1563,2020-04-14,155,3,9,GB,,,
131,3947,2020-04-14,15,1,19,ICT,,,
800,3793,2020-04-14,153,35,211,KP,,,
2826,41781,2020-04-14,508,24,702,Punjab,,,
1452,13840,2020-04-14,419,31,354,Sindh,,,
46,1029,2020-04-15,4,0,42,AJK,,,
240,4100,2020-04-15,137,2,20,Balochistan,,,
234,1618,2020-04-15,175,3,5,GB,,,
140,4473,2020-04-15,17,1,16,ICT,,,
865,4151,2020-04-15,178,38,211,KP,,,
2945,43565,2020-04-15,508,28,759,Punjab,,,
1518,14503,2020-04-15,427,35,443,Sindh,,,
46,1081,2020-04-16,9,0,37,AJK,,,
280,4299,2020-04-16,140,3,25,Balochistan,,,
237,1664,2020-04-16,178,3,5,GB,,,
145,4824,2020-04-16,17,1,17,ICT,,,
912,4524,2020-04-16,191,42,211,KP,,,
3217,46561,2020-04-16,550,34,756,Punjab,,,
1668,16026,2020-04-16,560,41,319,Sindh,,,
46,1135,2020-04-17,9,0,37,AJK,,,
303,4427,2020-04-17,142,5,33,Balochistan,,,
245,1826,2020-04-17,183,3,5,GB,,,
154,5150,2020-04-17,20,1,22,ICT,,,
993,4885,2020-04-17,205,45,230,KP,,,
3276,48381,2020-04-17,630,36,767,Punjab,,,
2008,18900,2020-04-17,576,45,267,Sindh,,,
48,1175,2020-04-18,9,0,39,AJK,,,
335,4812,2020-04-18,142,5,40,Balochistan,,,
250,2021,2020-04-18,192,3,5,GB,,,
163,5479,2020-04-18,20,1,13,ICT,,,
1077,5311,2020-04-18,216,50,280,KP,,,
3391,52478,2020-04-18,672,37,787,Punjab,,,
2217,21272,2020-04-18,581,47,717,Sindh,,,
48,1229,2020-04-19,9,0,39,AJK,,,
376,5085,2020-04-19,144,5,51,Balochistan,,,
257,2169,2020-04-19,193,3,5,GB,,,
171,5857,2020-04-19,20,2,15,ICT,,,
1137,6003,2020-04-19,226,60,294,KP,,,
3649,55241,2020-04-19,684,41,992,Punjab,,,
2355,22938,2020-04-19,592,48,764,Sindh,,,
49,1275,2020-04-20,10,0,39,AJK,,,
432,5315,2020-04-20,152,5,68,Balochistan,,,
263,2430,2020-04-20,194,3,4,GB,,,
181,5976,2020-04-20,20,3,16,ICT,,,
1235,6544,2020-04-20,267,67,296,KP,,,
3721,58304,2020-04-20,702,42,1002,Punjab,,,
2537,24458,2020-04-20,625,56,791,Sindh,,,
50,1355,2020-04-21,16,0,34,AJK,,,
465,5636,2020-04-21,161,6,67,Balochistan,,,
281,2604,2020-04-21,195,3,4,GB,,,
185,6224,2020-04-21,20,3,14,ICT,,,
1276,9360,2020-04-21,297,74,328,KP,,,
4195,60649,2020-04-21,742,45,1151,Punjab,,,
2764,26058,2020-04-21,635,61,845,Sindh,,,
51,1416,2020-04-22,23,0,28,AJK,,,
552,6130,2020-04-22,168,8,82,Balochistan,,,
290,2859,2020-04-22,201,3,10,GB,,,
204,6931,2020-04-22,26,3,8,ICT,,,
1453,10837,2020-04-22,414,83,351,KP,,,
4590,66030,2020-04-22,790,58,1290,Punjab,,,
3373,30346,2020-04-22,715,69,1010,Sindh,,,
55,1471,2020-04-23,0,0,30,AJK,,,
607,6504,2020-04-23,346,8,79,Balochistan,,,
300,2998,2020-04-23,75,3,10,GB,,,
214,7519,2020-04-23,173,3,12,ICT,,,
1541,11963,2020-04-23,628,85,373,KP,,,
4767,67882,2020-04-23,2497,65,1300,Punjab,,,
3671,33028,2020-04-23,1805,73,1063,Sindh,,,
55,1522,2020-04-24,0,0,27,AJK,,,
656,6742,2020-04-24,393,10,77,Balochistan,,,
307,3162,2020-04-24,81,3,10,GB,,,
223,8059,2020-04-24,177,3,14,ICT,,,
1708,13109,2020-04-24,738,89,409,KP,,,
5046,69971,2020-04-24,2577,73,1331,Punjab,,,
3945,35582,2020-04-24,1893,75,1205,Sindh,,,
55,1588,2020-04-25,0,0,23,AJK,,,
722,7212,2020-04-25,449,11,86,Balochistan,,,
308,3273,2020-04-25,79,3,10,GB,,,
235,8455,2020-04-25,188,3,15,ICT,,,
1793,13930,2020-04-25,760,93,455,KP,,,
5378,71726,2020-04-25,2577,81,1594,Punjab,,,
4232,38181,2020-04-25,2146,78,1206,Sindh,,,
55,1588,2020-04-26,32,0,23,AJK,,,
722,7212,2020-04-26,176,11,86,Balochistan,,,
308,3273,2020-04-26,216,3,10,GB,,,
235,8455,2020-04-26,29,3,15,ICT,,,
1793,13930,2020-04-26,485,93,455,KP,,,
5378,71726,2020-04-26,1126,81,1594,Punjab,,,
4232,38181,2020-04-26,802,78,1206,Sindh,,,
59,1692,2020-04-27,35,0,24,AJK,,,
781,7582,2020-04-27,176,13,90,Balochistan,,,
318,3398,2020-04-27,219,3,10,GB,,,
245,8753,2020-04-27,29,3,15,ICT,,,
1864,14889,2020-04-27,515,98,484,KP,,,
5446,73226,2020-04-27,1183,83,1602,Punjab,,,
4615,41216,2020-04-27,872,81,1230,Sindh,,,
65,1713,2020-04-28,35,0,30,AJK,,,
853,7991,2020-04-28,176,14,93,Balochistan,,,
320,3515,2020-04-28,222,3,10,GB,,,
261,9247,2020-04-28,36,4,18,ICT,,,
1984,15737,2020-04-28,533,104,500,KP,,,
5640,75071,2020-04-28,1306,91,1664,Punjab,,,
4956,43949,2020-04-28,925,85,1241,Sindh,,,
65,1826,2020-04-29,37,0,28,AJK,,,
915,8504,2020-04-29,176,14,93,Balochistan,,,
330,3647,2020-04-29,224,3,9,GB,,,
297,9705,2020-04-29,36,4,19,ICT,,,
2160,16549,2020-04-29,562,114,496,KP,,,
5827,77619,2020-04-29,1427,100,1719,Punjab,,,
5291,48061,2020-04-29,963,92,1323,Sindh,,,
66,1958,2020-04-30,37,0,29,AJK,,,
978,8820,2020-04-30,180,14,88,Balochistan,,,
333,3791,2020-04-30,228,3,10,GB,,,
313,10435,2020-04-30,44,4,21,ICT,,,
2313,17452,2020-04-30,614,122,576,KP,,,
6061,79914,2020-04-30,1780,103,1597,Punjab,,,
5695,51790,2020-04-30,1169,100,1239,Sindh,,,
66,2038,2020-05-01,43,0,23,AJK,,,
1049,9435,2020-05-01,183,14,90,Balochistan,,,
339,3932,2020-05-01,248,3,10,GB,,,
343,11194,2020-05-01,44,4,18,ICT,,,
2627,18504,2020-05-01,654,146,616,KP,,,
6340,82651,2020-05-01,1921,106,1703,Punjab,,,
6053,54377,2020-05-01,1222,112,1246,Sindh,,,
66,2054,2020-05-02,0,0,23,AJK,,,
1136,9821,2020-05-02,847,16,90,Balochistan,,,
340,4146,2020-05-02,72,3,10,GB,,,
365,11689,2020-05-02,302,4,15,ICT,,,
2799,19489,2020-05-02,1322,161,626,KP,,,
6733,88899,2020-05-02,2610,115,1803,Punjab,,,
6675,57761,2020-05-02,4044,118,1218,Sindh,,,
71,2227,2020-05-04,0,0,27,AJK,,,
1218,10326,2020-05-04,917,21,83,Balochistan,,,
364,4439,2020-05-04,91,3,10,GB,,,
415,12704,2020-05-04,339,4,16,ICT,,,
3129,21909,2020-05-04,1535,180,603,KP,,,
7524,96854,2020-05-04,2775,124,1958,Punjab,,,
7465,64052,2020-05-04,4638,130,1142,Sindh,,,
71,2281,2020-05-05,0,0,22,AJK,,,
1321,10633,2020-05-05,1014,21,89,Balochistan,,,
372,4581,2020-05-05,80,3,10,GB,,,
464,13697,2020-05-05,383,4,21,ICT,,,
3288,22692,2020-05-05,1578,185,669,KP,,,
8103,101897,2020-05-05,2779,136,2472,Punjab,,,
7882,66623,2020-05-05,4994,137,1122,Sindh,,,
76,2391,2020-05-06,54,0,22,AJK,,,
1495,11496,2020-05-06,206,21,67,Balochistan,,,
386,4748,2020-05-06,282,3,22,GB,,,
485,14585,2020-05-06,56,4,18,ICT,,,
3499,23562,2020-05-06,875,194,633,KP,,,
8420,106927,2020-05-06,3073,156,2412,Punjab,,,
8189,68873,2020-05-06,1671,148,1231,Sindh,,,
76,2471,2020-05-07,57,0,19,AJK,,,
